team,year,region,seed,play-in,rd_1,rd_2,rd_3,rd_4,rd_5,rd_6,TPPG,TPPG_last3,FGPG,FGPG_last3,FTAPG,FTAPG_last3,FTMPP,FTMPP_last3,ORP,ORP_last3,ORPG,ORPG_last3,DRP,DRP_last3,DRPG,DRPG_last3,APG,APG_last3,FPG,FPG_last3,ASM,ASM_last3,ATR,ATR_last3,OE,OE_last3,DE,DE_last3
Wake Forest,2002,midwest,7,NA,1,0,0,0,0,0,6.9,4.7,29.3,28.7,22.1,26,21.708,24.644,0.359,0.398,11.8,13,0.674,0.679,24.3,25.3,16.2,16,19.4,20.7,5.2,2,1.095,1.231,1.089,1.111,1.021,1.083
Stanford,2002,midwest,8,NA,1,0,0,0,0,0,7.1,6,27.6,25,27,28.7,25.488,27.674,0.389,0.475,13,15.7,0.753,0.743,26.4,26,16.1,12.3,19.5,26.7,8.8,-5,1.183,0.607,1.093,0.971,0.974,1.033
W Kentucky,2002,midwest,9,NA,0,0,0,0,0,0,8.8,5.7,26.9,27.3,20,22.7,19.562,22.664,0.359,0.402,11,13,0.726,0.763,23.5,24.7,15.2,13,19,19,11.7,7,1.04,0.975,1.072,1.047,0.909,0.952
Pepperdine,2002,midwest,10,NA,0,0,0,0,0,0,7.4,7,28.9,26.7,22,24,20.192,22.589,0.323,0.307,11.1,10.3,0.646,0.64,22.4,26.7,14,15.7,21,22.7,5.7,9.3,0.948,0.904,1.042,0.983,0.968,0.866
Boston Col,2002,midwest,11,NA,0,0,0,0,0,0,6.7,5.3,25.1,20.7,24.7,24.3,23.428,24.921,0.362,0.388,11.9,13.3,0.624,0.533,20.6,16,13.5,13.3,20.6,22,3.5,-1.7,0.954,0.909,1.012,0.933,0.963,0.958
Creighton,2002,midwest,12,NA,1,0,0,0,0,0,6.9,7,26.6,27.7,21.7,25.7,22.467,33.464,0.343,0.493,10.5,12.3,0.72,0.68,22.2,23.3,15,13.7,18.5,17,7.8,16.7,1.077,0.932,1.075,1.269,0.964,1.019
San Diego St,2002,midwest,13,NA,0,0,0,0,0,0,4.4,3,27.1,27,22.6,19.3,20.316,18.295,0.332,0.286,10.5,8.7,0.701,0.71,23,25.3,14,12.7,21.4,21,2.7,5,0.923,1.118,1.008,0.985,0.971,0.915
McNeese St,2002,midwest,14,NA,0,0,0,0,0,0,5.5,5.3,23.7,23.3,21.9,22,20.807,21.577,0.357,0.348,10.6,10.7,0.696,0.741,21.5,21,12.5,12.7,18.5,14.3,5.8,20.3,0.839,1.188,1.012,1.017,0.928,0.704
Montana,2002,midwest,15,NA,0,0,0,0,0,0,6.9,5.7,24.3,25.7,23.8,28.3,22.558,24.354,0.273,0.241,8.4,6.3,0.677,0.74,23,25.7,14.6,11.3,21,20.3,-1.9,8,0.99,0.791,1.005,1.06,1.031,0.946
Holy Cross,2002,midwest,16,NA,0,0,0,0,0,0,4.5,1.7,21.1,18.7,24,29.7,25.249,37.072,0.373,0.43,11.3,12.3,0.751,0.744,22,21.3,13.3,11,18.2,15.3,3.9,9.7,0.924,1.179,0.961,1.048,0.901,0.88
Duke,2002,south,1,NA,1,1,0,0,0,0,8.5,8.7,31.5,27.3,26.5,19,22.945,21.426,0.335,0.378,11.1,11.3,0.686,0.693,23.8,17.3,17.7,15.3,18.9,18.3,19.6,17.3,1.259,1.533,1.135,1.184,0.887,0.918
Alabama,2002,south,2,NA,1,0,0,0,0,0,6.3,7,26.4,23.7,24.2,21,24.404,23.644,0.39,0.417,12.8,13.3,0.661,0.682,22.6,20,13.2,9.3,18.9,22,10.4,-0.3,0.894,0.549,1.061,1.023,0.917,1.028
Pittsburgh,2002,south,3,NA,1,1,0,0,0,0,6.4,5.7,26.4,26.7,21.8,19.3,19.287,19.261,0.381,0.429,11.7,11,0.727,0.641,24.2,19.7,16.9,18,17.4,16.7,11.6,3.3,1.191,1.385,1.049,1.045,0.881,0.997
USC,2002,south,4,NA,0,0,0,0,0,0,6.2,6.3,28.5,31.3,20.8,22.7,19.733,24.228,0.358,0.304,12.7,9.3,0.694,0.619,22.2,20,15.7,18,19.5,20.3,8.6,8.7,1.296,1.588,1.055,1.138,0.938,1.025
Indiana,2002,south,5,NA,1,1,1,1,1,0,6.9,5.3,24.3,23.7,19.4,23,20.448,23.309,0.322,0.301,9.8,8.3,0.702,0.67,23,21.7,14.1,12,17.2,18,7.3,7,1.09,0.857,1.03,1,0.922,0.898
California,2002,south,6,NA,1,0,0,0,0,0,5.9,5.3,26.3,24,20.7,16,19.597,16.528,0.315,0.271,9.9,7.7,0.669,0.623,21.4,16,15.5,15.3,19.1,19.3,6.2,-17.3,1.171,1.122,1.019,0.935,0.932,1.181
Oklahoma St,2002,south,7,NA,0,0,0,0,0,0,5.3,3.7,26.3,24,22.9,16.7,20.13,15.327,0.401,0.361,13.3,11.7,0.674,0.596,23.6,19.7,14.4,13.7,17.9,15.7,8.1,-3.3,0.947,0.932,1.019,0.92,0.904,0.969
Notre Dame,2002,south,8,NA,1,0,0,0,0,0,7.3,9,27.9,28,21.4,19,20.488,18.559,0.341,0.352,11.3,10.3,0.687,0.64,25.6,24.3,18.8,23,16.3,16,9.8,7.7,1.42,1.568,1.062,1.068,0.93,0.964
Charlotte,2002,south,9,NA,0,0,0,0,0,0,8.3,8,25.5,25,20.6,20.3,20.688,22.917,0.354,0.333,11.1,10.3,0.697,0.642,23.6,20.3,14,11,18,20.3,5.8,-3,1.012,1.179,1.05,1.078,0.968,1.121
Kent State,2002,south,10,NA,1,1,1,0,0,0,6.3,6.7,27.3,28.3,20.7,23.3,22.418,25.322,0.391,0.415,11.7,11.3,0.715,0.644,22.2,18.7,13.5,12.7,19.2,17.3,12.6,16,1.229,1.462,1.128,1.256,0.941,1.002
U Penn,2002,south,11,NA,0,0,0,0,0,0,8.2,6.3,25.5,26.7,19.1,19.3,20.326,20.559,0.257,0.258,7.2,5.7,0.708,0.777,22.4,29,17.5,17,17.5,15.7,10,20,1.337,1.308,1.072,1.126,0.925,0.817
Utah,2002,south,12,NA,0,0,0,0,0,0,7.9,9.3,22.7,20.3,20.9,24.3,22.355,23.384,0.278,0.213,7.4,6.3,0.713,0.72,20.6,18,14.5,11.7,19.1,20,6.4,-1.3,1.092,1.029,1.057,1.013,0.957,1.034
NC-Wilmgton,2002,south,13,NA,1,0,0,0,0,0,6.7,8,23.7,24,19.2,19.7,19.801,23.96,0.322,0.42,10.1,12.3,0.667,0.68,21.2,22,13.9,13.3,17.6,17.3,6.8,15.3,1.168,1.111,1.019,1.134,0.916,0.889
Central Conn,2002,south,14,NA,0,0,0,0,0,0,4.3,4.3,25.6,22,22.1,22.7,23.23,28.302,0.383,0.308,11.6,9.3,0.715,0.789,24.2,23.7,13.3,11,16.1,16.3,9,7.3,0.896,0.943,1.028,1.016,0.899,0.905
Fla Atlantic,2002,south,15,NA,0,0,0,0,0,0,5.9,5,26.9,22.7,20.1,19,17.71,19.142,0.391,0.45,13.9,15,0.637,0.544,20.7,18.7,15.2,9.7,19.3,19.3,1.4,6,0.993,0.69,0.974,0.933,0.955,0.844
Winthrop,2002,south,16,NA,0,0,0,0,0,0,6.4,4.7,23.5,22.3,22.9,33.3,21.388,29.555,0.328,0.31,11,10.3,0.716,0.713,23.4,27.3,11.5,11.7,19.8,19.3,4,13.3,0.805,0.814,0.973,0.969,0.916,0.787
Cincinnati,2002,west,1,NA,1,0,0,0,0,0,5.8,4.7,27.2,25,24.1,30,24.139,31.182,0.37,0.375,11.8,10,0.716,0.645,24.8,23.7,13.3,13,17.9,16,17.8,17.3,1.1,1.258,1.096,1.124,0.843,0.866
Oklahoma,2002,west,2,NA,1,1,1,1,0,0,6.9,7,28.6,25,19.2,20.3,20.373,18.767,0.396,0.404,13.4,15.3,0.709,0.753,23,24.3,14.7,13.7,19.6,24,14.4,12.7,1.17,0.891,1.093,0.97,0.893,0.796
