team,year,region,seed,play-in,rd_1,rd_2,rd_3,rd_4,rd_5,rd_6,TPPG,TPPG_last3,FGPG,FGPG_last3,FTAPG,FTAPG_last3,FTMPP,FTMPP_last3,ORP,ORP_last3,ORPG,ORPG_last3,DRP,DRP_last3,DRPG,DRPG_last3,APG,APG_last3,FPG,FPG_last3,ASM,ASM_last3,ATR,ATR_last3,OE,OE_last3,DE,DE_last3
Kent State,2006,Oakland,12,NA,0,0,0,0,0,0,6.9,6.7,24.5,23.3,22.4,25.7,23.354,29.244,0.313,0.38,9.5,12.7,0.748,0.702,20.7,19.7,13.4,10.7,20.1,20,6.9,9,1.031,0.941,1.044,1.085,0.943,0.952
Bradley,2006,Oakland,13,NA,1,1,0,0,0,0,5.6,3,26.1,19,19.2,16.7,19.342,18.937,0.346,0.264,11.4,9.7,0.703,0.657,23.8,23,16.5,11.7,18.8,16.3,7.2,0.7,1.102,0.946,1.005,0.819,0.903,0.809
Xavier,2006,Oakland,14,NA,0,0,0,0,0,0,6.7,6.7,24.4,22.3,21.9,16.3,23.807,20.124,0.322,0.23,9,5.7,0.679,0.692,22.9,24.7,15.7,13,17.6,19.3,8.5,5.3,1.223,1.147,1.07,1.039,0.942,0.952
Belmont,2006,Oakland,15,NA,0,0,0,0,0,0,8.6,7.3,29.3,25.7,21,27,19.554,28.509,0.345,0.314,10.3,9,0.647,0.607,22,21.7,17,14,19.8,19,5.9,10.7,1.056,1.135,1.096,1.121,1.017,0.969
Oral Roberts,2006,Oakland,16,NA,0,0,0,0,0,0,6.5,6,25.9,24.7,22.4,24.7,22.554,27.632,0.37,0.308,11.7,8,0.703,0.638,22.2,22.3,15.8,13.3,17.6,17.7,6.5,13,1.094,1.111,1.054,1.095,0.962,0.903
Connecticut,2006,Washington DC,1,NA,1,1,1,0,0,0,5.3,5.7,29.1,23.7,25.5,31,24.23,33.697,0.428,0.451,14.2,17,0.697,0.67,27.2,25.7,15.9,13.3,15.4,16.7,15.9,5,1.138,0.976,1.101,1.051,0.886,0.984
Tennessee,2006,Washington DC,2,NA,1,0,0,0,0,0,8.9,9.7,28.9,26.3,21,13.3,19.798,14.322,0.298,0.374,10.2,12.3,0.674,0.662,20.7,16.3,17,14,18,17.3,7.6,-0.3,1.333,0.857,1.094,1.036,0.991,1.041
N Carolina,2006,Washington DC,3,NA,1,0,0,0,0,0,6.9,7.3,28.2,28.3,24.3,24,22.924,22.822,0.399,0.302,12.1,10.7,0.712,0.722,24.1,26,18,15.3,17.4,20,11.5,5.3,1.088,1.022,1.08,1.071,0.925,1.001
Illinois,2006,Washington DC,4,NA,1,0,0,0,0,0,7.4,7.3,25.6,23.3,18,19.3,17.477,22.445,0.377,0.262,11.2,7.3,0.731,0.641,22.1,16.7,15.1,17.3,17.4,18.7,11.9,2.7,1.275,1.926,1.074,1.133,0.892,1.089
Washington,2006,Washington DC,5,NA,1,1,0,0,0,0,6.6,7.7,30.1,28.7,20.9,17,20.859,18.839,0.422,0.478,13.3,14.7,0.707,0.692,21.6,21,16.5,15.3,18.9,17.7,13,5.7,1.107,1,1.099,1.13,0.926,1.048
Michigan St,2006,Washington DC,6,NA,0,0,0,0,0,0,5.8,4.3,26.1,20,20.5,21.7,23.1,24.294,0.342,0.352,9.6,10.3,0.715,0.698,22.8,20,16.6,11.7,18.1,20.3,5.4,4,1.196,0.897,1.078,0.945,0.999,0.882
Wichita St,2006,Washington DC,7,NA,1,1,0,0,0,0,6.7,6.7,23.8,22.7,19.3,17.7,21.339,22.183,0.343,0.32,10.3,10.3,0.732,0.737,23.4,24.3,14.6,12,15.5,14.7,6.8,5.7,1.146,1.2,1.039,1.066,0.936,0.974
Kentucky,2006,Washington DC,8,NA,1,0,0,0,0,0,7.6,9.7,25.9,23.7,16.8,13.3,16.422,15.365,0.357,0.344,11.1,10.7,0.671,0.641,21.7,22,14.2,14.3,16.9,14.3,4.8,5.7,1.096,1.194,1.052,1.06,0.979,0.97
UAB,2006,Washington DC,9,NA,0,0,0,0,0,0,7.1,5.7,26.2,22,22.2,16.3,20.041,14.71,0.277,0.283,9.1,8.7,0.606,0.562,18.6,19.7,15.3,12.3,18.2,18.3,8.5,2,1.201,0.949,1.028,0.903,0.91,0.872
Seton Hall,2006,Washington DC,10,NA,0,0,0,0,0,0,5.8,5.7,23.1,20.3,21.3,21.7,22.888,23.402,0.324,0.3,10.5,11,0.704,0.728,22.3,22.3,12.5,10.3,18.8,19.7,1.4,0.3,0.953,1.069,0.985,0.941,0.965,0.936
Geo Mason,2006,Washington DC,11,NA,1,1,1,1,0,0,5.9,6.3,25.7,24,18,23.3,18.173,21.141,0.307,0.326,8.8,10,0.701,0.736,23.3,22.3,15.2,16,15.4,18.3,10.6,7.7,1.164,1.171,1.051,1.032,0.891,0.916
Utah State,2006,Washington DC,12,NA,0,0,0,0,0,0,7.4,4,26,25,16.6,19.3,18.29,22.266,0.304,0.295,8.1,7.7,0.678,0.653,22.1,20.7,16.8,11.7,15.7,15.7,7.1,1.3,1.308,0.875,1.086,1.024,0.978,1.004
Air Force,2006,Washington DC,13,NA,0,0,0,0,0,0,8.6,8.7,21.9,20.3,14.8,18.3,19.051,22.557,0.237,0.256,5.8,6.7,0.654,0.573,16.8,14.3,14.2,12,15.4,17,8.9,5,1.302,1.333,1.096,1.104,0.942,1.015
Murray St,2006,Washington DC,14,NA,0,0,0,0,0,0,7.4,7.7,25.9,23.3,18.2,23.3,17.616,22.235,0.362,0.276,11.5,8,0.7,0.708,22.3,25,16,11,18.4,14.7,9.7,11.7,1.3,0.868,1.059,1.028,0.915,0.855
Winthrop,2006,Washington DC,15,NA,0,0,0,0,0,0,8,8,24.9,25,21.5,22.7,21.937,23.966,0.366,0.385,11,11.7,0.72,0.786,21.6,25.7,15.7,16.7,17.1,13.3,11.7,18,1.137,1.316,1.063,1.127,0.892,0.852
Albany,2006,Washington DC,16,NA,0,0,0,0,0,0,7.1,7.3,23.2,25.3,21.7,21.7,23.102,27.561,0.328,0.301,9.2,7.3,0.692,0.75,20.9,23,12.6,13.7,19.1,20.3,4.6,13.3,0.901,1.323,1.032,1.198,0.963,0.986
N Carolina,2007,east,1,NA,1,1,1,0,0,0,5.8,4,31.5,29.3,24.8,20.3,23.199,20.404,0.388,0.372,13.2,11.7,0.708,0.704,27.1,27,18.8,16.7,17,14.7,18.4,14.7,1.341,1.282,1.149,1.117,0.904,0.904
Georgetown,2007,east,2,NA,1,1,1,1,0,0,6.3,5.7,24.5,25.7,18.4,17.7,21.737,22.325,0.395,0.375,10.3,11,0.674,0.611,22.2,25.7,14.3,15.3,16.4,15,11.6,10,1.043,1.643,1.129,1.178,0.937,1.01
Wash State,2007,east,3,NA,1,0,0,0,0,0,5.8,6.3,24.1,25,17.6,22.7,19.788,27.095,0.253,0.337,7.3,10,0.692,0.681,22.1,20.7,13.9,11.7,16.2,18.7,7.4,1,1.354,1.167,1.051,1.119,0.934,1.104
Texas,2007,east,4,NA,1,0,0,0,0,0,9.1,8.7,27.7,26.3,24.2,18.7,24.446,21.166,0.362,0.29,13.4,12,0.666,0.649,25.6,24,14.1,12.3,17.2,16.3,10.7,2,1.16,1.37,1.14,1.077,0.991,1.049
USC,2007,east,5,NA,1,1,0,0,0,0,5.6,8.3,25.5,22.3,20.8,23.7,21.247,25.677,0.295,0.291,9,10.7,0.669,0.629,24.2,22,12.8,11.3,17.9,15.3,6.4,-3.7,0.874,1.03,1.032,1.057,0.94,1.113
Vanderbilt,2007,east,6,NA,1,1,0,0,0,0,9.2,10.7,26.4,25.7,18.9,21,19.693,24.178,0.291,0.299,9.7,10.7,0.669,0.702,22.7,19.7,16.7,17,17.2,20.3,4.3,-2.3,1.344,1.759,1.083,1.124,1.022,1.157
Boston Col,2007,east,7,NA,1,0,0,0,0,0,5.9,7,25.5,20.3,24.5,21.3,26.354,25.557,0.378,0.321,11.5,9,0.635,0.578,22.4,17.3,14.8,10.7,15.3,13.3,4.8,-8.7,1.05,0.762,1.109,1.033,1.038,1.175
Marquette,2007,east,8,NA,0,0,0,0,0,0,6.4,8.7,25.3,24.3,23,24,22.429,29.592,0.398,0.379,13.7,13,0.65,0.622,22.1,23,14.2,15.7,20.4,22.7,7.4,1,0.983,1.516,1.05,1.173,0.942,1.158
Michigan St,2007,east,9,NA,1,0,0,0,0,0,5.2,4.7,23.1,22.3,19.4,12.7,22.21,12.068,0.396,0.289,11.1,7.3,0.706,0.747,22.6,19.7,16,16.7,18.6,22.7,8.4,-3.3,1.067,1.163,1.051,0.971,0.915,1.029
Texas Tech,2007,east,10,NA,0,0,0,0,0,0,6.1,5,24.6,20,22.1,23.7,23.986,26.943,0.276,0.212,8.8,7.3,0.648,0.653,20.6,21.3,13.4,9,17.4,16.7,2.9,-3,1.134,0.794,1.055,0.943,1.012,0.988
Geo Wshgtn,2007,east,11,NA,0,0,0,0,0,0,5.4,3.3,26.2,24,18.9,19.3,19.735,21.215,0.36,0.352,11.6,12.3,0.656,0.663,21.5,21.7,14.7,12.3,18.8,16.7,6.9,13,1.078,0.949,1.053,0.99,0.951,0.793
Arkansas,2007,east,12,NA,0,0,0,0,0,0,6.2,7,25.4,29,21.2,20.3,21.674,20.168,0.35,0.427,10.8,15.7,0.677,0.69,24,26,15.3,13.3,17.5,19.3,6.5,13.3,0.998,1.379,1.047,1.185,0.952,0.983
N Mex State,2007,east,13,NA,0,0,0,0,0,0,5.8,6.7,26.4,28.3,29.1,21.7,25.959,23.049,0.386,0.42,13.1,12.3,0.677,0.658,24.5,24.3,13.7,11,20.8,18.3,5.6,9.3,0.805,0.673,1.064,1.162,0.988,1.025
Oral Roberts,2007,east,14,NA,0,0,0,0,0,0,6,5.3,24.2,27,24.5,20.7,25.585,23.925,0.347,0.37,10.3,10,0.691,0.688,23.7,25,13.5,12,17.7,17,6.2,15,0.889,0.973,1.054,1.145,0.962,0.916
Belmont,2007,east,15,NA,0,0,0,0,0,0,8.9,10.7,25.8,28,17.7,27,17.801,24.076,0.331,0.34,10.6,11,0.673,0.693,25.1,29.3,15.7,16.3,18.6,18,8.3,20.3,0.996,1.114,1.058,1.167,0.937,0.884
E Kentucky,2007,east,16,NA,0,0,0,0,0,0,8.2,8.3,23.6,22,14.8,11,15.901,14.615,0.278,0.286,8,7.3,0.646,0.635,19.4,22,14.4,14.3,13.9,16.7,1.8,7.3,1.064,0.977,1.035,1.029,1.006,0.905
Florida,2007,midwest,1,NA,1,1,1,1,1,1,7.2,8.7,28.5,27.7,22.1,23.3,22.177,23.823,0.366,0.392,10.7,10.3,0.713,0.6,25.7,26,15.9,13,15.6,12.3,17.7,17,1.129,0.886,1.169,1.211,0.909,0.953
Wisconsin,2007,midwest,2,NA,1,0,0,0,0,0,5.9,6.3,24.3,19.7,23.8,19.3,25.394,21.864,0.356,0.275,11,7.3,0.71,0.733,23.3,21,13.6,10.3,15.1,17.3,13.8,9,1.217,0.939,1.11,1.007,0.894,0.852
Oregon,2007,midwest,3,NA,1,1,1,0,0,0,9.5,11.3,26.3,28.7,19.1,12.7,20.986,12.963,0.355,0.293,11.8,8,0.692,0.728,22.4,27.7,14.3,15.3,15.9,12.7,10.5,20.3,1.132,1.211,1.116,1.198,0.963,0.881
Maryland,2007,midwest,4,NA,1,0,0,0,0,0,5.8,4.3,28.7,29.3,23.5,18.7,22.021,17.399,0.353,0.392,11.8,13.3,0.64,0.628,25.4,25.3,17.3,18.7,18,17.7,11.9,7.7,1.101,1.514,1.065,1.063,0.906,0.955
Butler,2007,midwest,5,NA,1,1,0,0,0,0,9,7.3,21.8,19,20.6,17.3,25.991,24.766,0.292,0.244,8.6,6.7,0.68,0.674,20.3,19.3,12.3,11.7,19.1,16,11.4,5.3,1.332,1.207,1.132,1.05,0.944,0.955
Notre Dame,2007,midwest,6,NA,0,0,0,0,0,0,9.1,11,27.1,26,24.2,22.7,25.669,26.691,0.36,0.443,12.3,18,0.686,0.547,25.3,23.3,17.5,15.7,18.2,19,13.7,3.7,1.358,1.516,1.153,1.184,0.958,1.131
UNLV,2007,midwest,7,NA,1,1,0,0,0,0,7.7,9.7,26.6,29,19.9,18.3,20.767,20.927,0.34,0.253,11.8,7,0.652,0.624,22.5,21,14.8,15,18,20.3,8.1,16.7,1.3,1.324,1.101,1.197,0.982,0.954
Arizona,2007,midwest,8,NA,0,0,0,0,0,0,5.6,3.3,27.5,24.7,24,20.3,25.36,22.301,0.374,0.337,11.8,11.3,0.697,0.727,24.7,24,16.2,15.7,13.7,19.7,6,-3,1.182,1.119,1.114,0.973,1.029,1.015
Purdue,2007,midwest,9,NA,1,0,0,0,0,0,6.5,6.7,24.7,23.3,20.4,18.7,20.846,20.734,0.343,0.348,10.7,10.3,0.67,0.65,21.4,25.3,13.8,15.3,19.7,18.3,6.9,10.3,0.969,1.045,1.046,1.058,0.943,0.893
GA Tech,2007,midwest,10,NA,0,0,0,0,0,0,6.4,8,29.4,34.3,20.5,19.7,19.57,17.419,0.407,0.41,13.3,14.3,0.685,0.727,22.1,18.7,15.5,17.7,20.8,27.3,9.6,6.3,0.978,1.128,1.106,1.176,0.972,1.093
Winthrop,2007,midwest,11,NA,1,0,0,0,0,0,8.1,9,26.8,28.7,19.7,18,18.532,18.573,0.354,0.406,11.5,13,0.726,0.771,24.8,24.7,16.5,18,17.2,15.7,11.2,17.3,1.255,1.862,1.102,1.212,0.935,0.944
Old Dominion,2007,midwest,12,NA,0,0,0,0,0,0,7.2,7.3,24.1,20,20.5,17.3,22.335,21.935,0.348,0.298,11.6,10.3,0.712,0.753,24.2,21.3,15,10.7,18.8,21,8,-2.7,1.222,1.032,1.06,0.979,0.939,1.022
Davidson,2007,midwest,13,NA,0,0,0,0,0,0,9.2,9.7,27.7,26.7,20.4,21.3,20.891,24.329,0.342,0.33,12.1,12.7,0.742,0.67,26.2,22.3,15.5,14,17.9,17.3,11.3,13.3,1.064,1.2,1.088,1.128,0.935,0.94
Miami (OH),2007,midwest,14,NA,0,0,0,0,0,0,5.1,5.3,21.8,23.3,15.2,10.3,17.929,15.273,0.272,0.283,7.5,5.7,0.686,0.708,21.9,22.7,12.8,11,17,15.3,2.2,8.3,0.969,0.868,0.988,1.106,0.952,0.953
TX A&M-CC,2007,midwest,15,NA,0,0,0,0,0,0,5.8,4.7,27.7,27.7,25.1,31.7,25.671,33.124,0.375,0.382,11,8.7,0.702,0.661,24.1,24,17.9,18.7,19.3,22.7,8.9,15.3,1.09,1.018,1.126,1.159,0.999,0.948
Jackson St,2007,midwest,16,NA,0,0,0,0,0,0,5.6,7,25,26.3,21.8,16.7,20.875,19.06,0.342,0.416,12,15.7,0.635,0.667,21.4,19.3,13.5,9.7,20.7,20,-1.3,7,0.887,0.644,0.967,1.044,0.984,0.943
Ohio State,2007,south,1,NA,1,1,1,1,1,0,7.5,4,26.3,24,19.8,20.7,20.837,24.072,0.348,0.333,11,11.7,0.693,0.641,24.1,22,15.7,13,13.5,10.3,13.4,8.3,1.336,1.857,1.12,1.094,0.917,0.957
Memphis,2007,south,2,NA,1,1,1,0,0,0,7.7,7.3,28.1,27.7,25.8,26.7,21.903,22.044,0.394,0.441,14.5,16.3,0.682,0.65,24.8,22.3,15.1,15.7,19.8,19.3,17.2,18.3,1.119,1.068,1.108,1.121,0.868,0.858
Texas A&M,2007,south,3,NA,1,1,0,0,0,0,6.5,7.7,27,29.7,21.8,24.3,23.547,20.401,0.329,0.343,9.5,11.3,0.71,0.706,25.1,25.7,18,17.3,19.5,16.7,17.1,4.3,1.442,1.3,1.137,1.115,0.882,1.056
Virginia,2007,south,4,NA,1,0,0,0,0,0,8.1,7,25.5,24,24.8,20.7,25.609,21.979,0.371,0.283,13.1,10.7,0.678,0.712,24.9,26.3,13,11,20,23,5.7,-0.3,0.947,0.868,1.085,0.991,1.006,0.996
Tennessee,2007,south,5,NA,1,1,0,0,0,0,8.9,8.3,27.7,25.3,23.5,25,20.575,21.969,0.345,0.333,13.3,12.3,0.651,0.606,21.7,19,15.5,14,19.8,19.3,5.2,2.3,1.067,1.024,1.068,1.047,0.998,1.014
Louisville,2007,south,6,NA,1,0,0,0,0,0,7.4,7.7,24.9,28.3,20.7,18.3,20.993,16.898,0.376,0.412,13.5,16.3,0.661,0.719,23.2,27.3,14.9,17.3,20.8,25.3,8.4,6.7,1.16,1.529,1.069,1.128,0.943,1.029
Nevada,2007,south,7,NA,1,0,0,0,0,0,7.5,6,28,27.7,18.8,22.3,20.744,22.978,0.358,0.271,11.1,9.7,0.699,0.738,26.2,30,16.5,16,16.7,15,10.4,11.3,1.282,1.263,1.135,1.075,0.983,0.919
BYU,2007,south,8,NA,0,0,0,0,0,0,7.4,6.3,28.3,29,20.4,27.7,19.231,23.55,0.356,0.431,11.4,14.7,0.716,0.719,24.9,27.3,15.8,15.3,19.5,21,7.7,5.7,1.172,1.122,1.109,1.145,0.999,1.064
Xavier,2007,south,9,NA,1,0,0,0,0,0,7.9,8.3,25,24.3,25.1,22,27.82,23.664,0.362,0.32,10.7,10.3,0.68,0.734,22.4,19.3,15.1,13,17.8,20,11.6,8,1.184,1,1.145,1.08,0.971,0.961
Creighton,2007,south,10,NA,0,0,0,0,0,0,6.3,5,22.2,20.7,21.8,27,26.205,33.81,0.335,0.367,10.1,11,0.695,0.737,22.3,24.3,13.4,12,16.7,16.3,6.7,14.7,1.046,1.059,1.069,1.096,0.962,0.856
Stanford,2007,south,11,NA,0,0,0,0,0,0,5.7,7.3,25.2,26.3,19.9,20.3,20.186,19.823,0.364,0.358,12.2,12.7,0.713,0.67,25.3,21.7,15,13.7,18.4,22.3,3.2,0.3,1.027,0.976,1.025,1.048,0.979,1.043
Lg Beach St,2007,south,12,NA,0,0,0,0,0,0,8.5,8,28.3,29.7,21.8,26.3,20.944,26.792,0.339,0.255,12.3,8.3,0.667,0.788,23.3,29.7,14.3,17.7,17.4,19.3,6.6,13.7,1.046,1.514,1.095,1.17,1.005,0.987
Albany,2007,south,13,NA,0,0,0,0,0,0,6.8,5.3,24.2,22,17.9,17,19.837,19.84,0.341,0.33,10.5,10.3,0.714,0.737,22.4,24.3,13.1,10.7,19.2,19.7,3.8,9.3,0.984,1.103,1.049,1.037,0.991,0.879
U Penn,2007,south,14,NA,0,0,0,0,0,0,6.1,3,26.9,26.7,21.3,22.3,20.708,24.265,0.327,0.354,10.1,9.7,0.671,0.782,21.8,26.3,17.2,16,18.3,17.7,6.6,15.7,1.235,1.091,1.074,1.097,0.979,0.859
North Texas,2007,south,15,NA,0,0,0,0,0,0,6.8,5,27.1,26,23.4,26.7,21.023,22.379,0.375,0.348,13.5,13.3,0.692,0.704,24.7,27,12.4,12.3,20.4,20,4.1,7,0.804,1.028,1.05,1.021,0.993,0.923
Central Conn,2007,south,16,NA,0,0,0,0,0,0,7.6,7,23.4,25.7,20.5,23.7,22.653,24.982,0.356,0.371,11.7,12,0.678,0.748,22.7,27.7,12.6,13,16,12.3,3.6,9.3,0.898,0.886,1.051,1.091,0.997,0.956
Kansas,2007,west,1,NA,1,1,1,0,0,0,5.9,6.3,29,27,21.5,22.7,20.167,19.769,0.384,0.323,12.7,10.7,0.712,0.726,26.9,25.7,16.9,15.7,18.9,23.7,17.8,9,1.2,1.205,1.111,1.092,0.858,0.959
UCLA,2007,west,2,NA,1,1,1,1,0,0,6.8,5.7,26.7,21.7,18,16,17.859,13.576,0.344,0.267,10.8,9,0.713,0.67,21.5,19.7,14.7,10.7,16.1,20,11.4,-3,1.205,0.941,1.098,0.903,0.924,0.95
Pittsburgh,2007,west,3,NA,1,1,0,0,0,0,6.1,4.7,25.9,21.3,20,27.7,20.767,28.962,0.375,0.344,11.9,14,0.689,0.632,23.1,20,17.4,12.7,16.4,14.7,8.7,-2.3,1.497,1.727,1.109,1.051,0.973,1.089
S Illinois,2007,west,4,NA,1,1,0,0,0,0,6.2,6.7,21.2,20.7,21.1,20,23.912,22.146,0.319,0.281,9.2,9,0.715,0.728,19.9,22.3,11.6,9.7,20.4,21.3,5.9,2.7,0.836,0.829,1.035,0.999,0.938,0.956
VA Tech,2007,west,5,NA,1,0,0,0,0,0,4.8,3.7,26.4,27,21.7,20,21.715,18.394,0.332,0.33,10.7,11.3,0.656,0.778,22.2,21,13.3,12,18.2,17,6.9,3.3,1.22,1.44,1.08,1.068,0.976,1.017
Duke,2007,west,6,NA,0,0,0,0,0,0,6.1,8.3,24.8,28.7,20.8,15,21.323,14.61,0.353,0.359,10.8,14,0.708,0.656,23.1,19.7,13.2,9.7,17.5,23,8.7,-9,0.865,0.644,1.039,1.046,0.91,1.169
Indiana,2007,west,7,NA,1,0,0,0,0,0,7.9,12,24.8,24,18.9,17.3,20.701,20.144,0.356,0.378,11,12.3,0.684,0.673,21.5,22,13.4,16.7,20.5,19.7,8.7,10.3,1.09,1.389,1.093,1.181,0.958,1.013
Kentucky,2007,west,8,NA,1,0,0,0,0,0,6.8,7,26.4,27.7,19.9,21.3,20.125,21.851,0.336,0.395,10.2,15,0.679,0.632,25.2,18.3,15.9,13.3,15.9,19.7,6.2,-1,1.09,1.111,1.064,1.107,0.975,1.121
Villanova,2007,west,9,NA,0,0,0,0,0,0,7.6,6,23.2,19.3,23.1,30,26.935,37.093,0.385,0.303,12.7,10,0.688,0.649,22.6,24,12.7,9.7,19.6,18,7.5,2,0.934,0.853,1.074,1.025,0.963,0.996
Gonzaga,2007,west,10,NA,0,0,0,0,0,0,6.8,5.3,27.7,28,22.6,27.3,23.669,26.903,0.326,0.371,10.1,12,0.708,0.697,26.4,25.3,14.5,14.7,19.2,19,9,12.3,1.039,1.467,1.104,1.169,0.978,0.988
VCU,2007,west,11,NA,1,0,0,0,0,0,6.9,4.3,25.6,23,22.9,22,24.874,26.77,0.352,0.398,11.3,11.7,0.693,0.633,20.7,16.7,13.6,12,18.4,20.3,10,8.7,1.191,0.878,1.12,1.076,0.97,0.937
Illinois,2007,west,12,NA,0,0,0,0,0,0,6.9,6.7,22.7,17.3,19.6,22.7,19.241,22.604,0.368,0.265,11.7,8.7,0.711,0.747,21.6,23.7,14,12,17.3,17.3,7.4,-0.7,1.024,0.9,1.014,0.91,0.899,0.921
Holy Cross,2007,west,13,NA,0,0,0,0,0,0,5.8,5,21.9,24.7,19.9,19.7,22.986,25.895,0.376,0.329,11.1,8.3,0.704,0.705,20.5,22.3,13.7,16.7,18.3,18.7,6.9,13.3,0.908,1.316,1.011,1.12,0.903,0.909
Wright State,2007,west,14,NA,0,0,0,0,0,0,5.5,7,23.2,20.7,17.2,19.3,20.071,20.959,0.309,0.288,9.7,10,0.683,0.714,21.8,20,12.2,12,17.4,14.7,3,2,0.997,1.029,1.022,0.989,0.975,0.957
Weber State,2007,west,15,NA,0,0,0,0,0,0,5.7,4.7,24,26.3,26,35.3,25.427,33.6,0.316,0.299,9.3,8.7,0.673,0.722,22.6,23.3,13.6,11.3,19.3,17,0.8,-3.7,0.862,0.667,1.039,1.096,1.028,1.145
Niagara,2007,west,16,1,0,0,0,0,0,0,8,9,25.6,29,23.1,19.7,23.962,22.357,0.388,0.46,14.3,19,0.683,0.772,23,26,13.6,12.7,17.5,16.7,2.3,13,1.02,1,1.078,1.16,1.045,0.978
N Carolina,2008,east,1,NA,1,1,1,1,0,0,5.6,5.3,31.8,28.3,25.9,18.3,25.006,18.116,0.409,0.347,13.8,11.7,0.733,0.72,26.8,25.7,16.5,12.7,16.8,17,16.3,7.3,1.147,0.974,1.131,1.024,0.923,0.924
Tennessee,2008,east,2,NA,1,1,0,0,0,0,9,9.7,29,33,23.4,19.7,20.665,18.517,0.367,0.313,13.2,8.7,0.669,0.684,22.5,26,17.7,20.3,20.8,23,11.5,11.3,1.386,1.356,1.112,1.186,0.956,1.036
Louisville,2008,east,3,NA,1,1,1,0,0,0,7.5,5.3,25.5,23,20.5,19.3,19.536,17.531,0.321,0.327,10.6,11.7,0.712,0.729,24.8,20.7,14.8,14.3,18.2,17.7,10.6,1.3,1.118,1.024,1.048,0.947,0.894,0.927
Wash State,2008,east,4,NA,1,1,0,0,0,0,6.4,8,23.2,24,19.3,25.3,23.144,25.008,0.261,0.224,6.6,6.3,0.723,0.626,19.9,19,13.9,13,14.9,18.7,10,0.3,1.366,1.147,1.094,1.074,0.931,1.069
Notre Dame,2008,east,5,NA,1,0,0,0,0,0,8.5,6.7,28.2,27.7,21.4,13.7,21.433,13.611,0.342,0.187,11.4,5.7,0.708,0.7,26.6,23.3,18.9,17.3,15,15,10.1,3.3,1.464,1.486,1.1,1.04,0.962,0.992
Oklahoma,2008,east,6,NA,1,0,0,0,0,0,6.3,6,24,21.7,20.7,15,21,15.539,0.327,0.339,10.2,12.7,0.731,0.725,23.2,22,12.5,11.3,16.9,16,5,-4.7,0.979,0.944,1.02,0.922,0.945,0.994
Butler,2008,east,7,NA,1,0,0,0,0,0,9.2,10.7,22.7,21.7,18.6,18.3,22.215,22.257,0.286,0.303,8,7.7,0.698,0.634,19.3,21.3,13,13.3,16.9,15.7,10.6,21.7,1.296,1.538,1.109,1.147,0.937,0.776
Indiana,2008,east,8,NA,0,0,0,0,0,0,6.6,4.3,25.3,20,23.4,25.3,25.799,29.347,0.352,0.366,10.3,12.3,0.73,0.701,25,25,13.2,10,17.2,14.3,10.4,3,0.975,0.909,1.086,0.966,0.935,0.921
Arkansas,2008,east,9,NA,1,0,0,0,0,0,6,7.3,26.8,30.3,21.5,24,20.379,22.105,0.372,0.457,11.5,14.3,0.699,0.826,22.6,23.7,14.8,15.7,19,20,7.1,6.7,0.963,1.146,1.044,1.201,0.945,1.105
S Alabama,2008,east,10,NA,0,0,0,0,0,0,6.7,5.7,25.8,25.7,24.7,26.3,25.507,28.178,0.374,0.395,11.1,10.7,0.718,0.821,23,21.3,15.9,16.7,17.3,20.3,10.1,4.7,1.161,1.22,1.103,1.127,0.955,1.058
St Josephs,2008,east,11,NA,0,0,0,0,0,0,7.3,5.7,25.3,21.7,21.2,16,22.955,21.058,0.309,0.256,8.7,6.7,0.682,0.747,20.6,20.7,14.9,13.7,17.4,18.3,6.1,5.7,1.192,1.051,1.091,1.004,1.001,0.913
Geo Mason,2008,east,12,NA,0,0,0,0,0,0,6.1,2,24.5,21.7,21,23,22.759,29.049,0.314,0.37,9,9,0.743,0.736,22.8,22.3,13.2,9.3,15.5,15.7,7.6,10.7,1.124,1.037,1.075,1.114,0.959,0.92
Winthrop,2008,east,13,NA,0,0,0,0,0,0,6.4,6.7,23.6,24.3,19.4,19,17.699,18.909,0.326,0.326,10,9.7,0.739,0.796,21.9,28.7,12.9,17.3,17.3,17.7,6.3,19,1.028,1.529,0.993,1.037,0.897,0.746
Boise State,2008,east,14,NA,0,0,0,0,0,0,8.1,10,28.8,29,23.1,31.3,20.395,29.017,0.292,0.255,8.8,8,0.716,0.729,24.4,28.7,17.9,17.3,17.2,18.3,5.1,7,1.165,1.02,1.075,1.124,1.007,1.038
American,2008,east,15,NA,0,0,0,0,0,0,7.8,7.3,21.2,21,20.1,16.7,23.718,22.031,0.3,0.311,7.7,7.7,0.722,0.764,21,18.3,11.9,13.7,17.5,14.3,3.3,6.7,0.894,1.464,1.034,1.078,0.981,0.962
Mt St Marys,2008,east,16,1,0,0,0,0,0,0,6,5.3,24.2,22.3,21,36.3,20.911,37.398,0.285,0.309,8.7,8.3,0.686,0.682,22.5,24.3,12.8,12.3,19.9,21,2.6,13.7,0.903,0.804,0.987,1.067,0.951,0.877
Kansas,2008,midwest,1,NA,1,1,1,1,1,1,6.5,4,29.6,24.7,21.8,24.7,21.819,27.84,0.37,0.375,11,10,0.732,0.663,24.5,19.7,18.3,14.3,17.5,18.3,19.8,11,1.413,1.162,1.146,1.119,0.866,0.946
